#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,XXX
Mesorhizobium sp. L-8-10,Bacteria;Proteobacteria;Alphaproteobacteria,L-8-10,SAMD00233077,PRJDB10077,GCA_016756635.1,Complete,8.45197,64.2,chromosome:NZ_AP023263.1/AP023263.1,,1,7570,2020-12-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/756/635/GCA_016756635.1_ASM1675663v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/756/635/GCF_016756635.1_ASM1675663v1,XXX
Mesorhizobium sp. L-8-3,Bacteria;Proteobacteria;Alphaproteobacteria,L-8-3,SAMD00233076,PRJDB10077,GCA_016756615.1,Complete,8.44595,64.2,chromosome:NZ_AP023262.1/AP023262.1,,1,7482,2020-12-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/756/615/GCA_016756615.1_ASM1675661v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/756/615/GCF_016756615.1_ASM1675661v1,XXX
Mesorhizobium sp. 113-1-2,Bacteria;Proteobacteria;Alphaproteobacteria,113-1-2,SAMD00233069,PRJDB10077,GCA_016756475.1,Complete,7.93838,62.8,chromosome:NZ_AP023242.1/AP023242.1,,1,7344,2020-12-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/756/475/GCA_016756475.1_ASM1675647v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/756/475/GCF_016756475.1_ASM1675647v1,XXX
Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1,Bacteria;Proteobacteria;Alphaproteobacteria,M1B.F.Ca.ET.045.04.1.1,SAMN09232659,PRJNA453501,GCA_003952465.1,Complete,7.77981,63.1,chromosome:NZ_CP034448.1/CP034448.1,,1,7089,2018-12-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/952/465/GCA_003952465.1_ASM395246v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/952/465/GCF_003952465.1_ASM395246v1,XXX
Mesorhizobium sp. 113-3-9,Bacteria;Proteobacteria;Alphaproteobacteria,113-3-9,SAMD00233071,PRJDB10077,GCA_016756515.1,Complete,7.59253,62.9,chromosome:NZ_AP023246.1/AP023246.1,,1,7038,2020-12-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/756/515/GCA_016756515.1_ASM1675651v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/756/515/GCF_016756515.1_ASM1675651v1,XXX
Mesorhizobium sp. M2A.F.Ca.ET.046.03.2.1,Bacteria;Proteobacteria;Alphaproteobacteria,M2A.F.Ca.ET.046.03.2.1,SAMN09232661,PRJNA453501,GCA_003952425.1,Complete,7.37281,63.2,chromosome:NZ_CP034449.1/CP034449.1,,1,6678,2018-12-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/952/425/GCA_003952425.1_ASM395242v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/952/425/GCF_003952425.1_ASM395242v1,XXX
Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1,Bacteria;Proteobacteria;Alphaproteobacteria,M1E.F.Ca.ET.045.02.1.1,SAMN09232658,PRJNA453501,GCA_003952485.1,Complete,7.34839,63.2,chromosome:NZ_CP034447.1/CP034447.1,,1,6746,2018-12-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/952/485/GCA_003952485.1_ASM395248v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/952/485/GCF_003952485.1_ASM395248v1,XXX
Mesorhizobium sp. NZP2298,Bacteria;Proteobacteria;Alphaproteobacteria,NZP2298,SAMN10272909,PRJNA496338,GCA_013170825.1,Complete,7.33682,62.8,chromosome:NZ_CP033365.1/CP033365.1,,1,6770,2020-05-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/170/825/GCA_013170825.1_ASM1317082v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/170/825/GCF_013170825.1_ASM1317082v1,XXX
Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1,Bacteria;Proteobacteria;Alphaproteobacteria,M1D.F.Ca.ET.043.01.1.1,SAMN09232655,PRJNA453501,GCA_003952385.1,Complete,7.12791,63.4,chromosome:NZ_CP034444.1/CP034444.1,,1,6483,2018-12-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/952/385/GCA_003952385.1_ASM395238v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/952/385/GCF_003952385.1_ASM395238v1,XXX
Mesorhizobium sp. NZP2234,Bacteria;Proteobacteria;Alphaproteobacteria,NZP2234,SAMN10272907,PRJNA496338,GCA_013170765.1,Complete,6.74972,63.1,chromosome:NZ_CP033364.1/CP033364.1,,1,6305,2020-05-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/170/765/GCA_013170765.1_ASM1317076v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/170/765/GCF_013170765.1_ASM1317076v1,XXX
